CompanyIN;LegalFormID;LegalFormName;EmployeeLowerBound;ActivityScore;NaceCode;Nace;NaceSectionCode;NaceSection
71831908;105;Fyz.osoba ost.;1;28;70220;[70220] Ostatní poradenství v oblasti podnikání a řízení;M;[M] Profesní, vědecké a technické činnosti
71859012;101;Fyz. os. podnikající dle živ. zákona;0;28;93290;[93290] Ostatní zábavní a rekreační činnosti j. n.;R;[R] Kulturní, zábavní a rekreační činnosti
71891811;105;Fyz.osoba ost.;NULL;9;69200;"[69200] Účetnické a auditorské činnosti; daňové poradenství";M;[M] Profesní, vědecké a technické činnosti
1446291;112;Společnost s r.o.;NULL;28;74;[74] Ostatní profesní, vědecké a technické činnosti;M;[M] Profesní, vědecké a technické činnosti
1476157;112;Společnost s r.o.;25;55;33160;[33160] Opravy a údržba letadel a kosmických lodí;C;[C] Zpracovatelský průmysl
1567616;932;Evropská společnost;NULL;4;431;[431] Demolice a příprava staveniště;F;[F] Stavebnictví
1588397;112;Společnost s r.o.;NULL;22;46720;[46720] Velkoobchod s rudami, kovy a hutními výrobky;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
1626701;112;Společnost s r.o.;NULL;9;461;[461] Zprostředkování velkoobchodu a velkoobchod v zastoupení;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
1627112;112;Společnost s r.o.;NULL;28;471;[471] Maloobchod v nespecializovaných prodejnách;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
1643924;112;Společnost s r.o.;NULL;22;70220;[70220] Ostatní poradenství v oblasti podnikání a řízení;M;[M] Profesní, vědecké a technické činnosti
1794736;112;Společnost s r.o.;6;9;561;[561] Stravování v restauracích, u stánků a v mobilních zařízeních;I;[I] Ubytování, stravování a pohostinství
1816896;112;Společnost s r.o.;1;73;68310;[68310] Zprostředkovatelské činnosti realitních agentur;L;[L] Činnosti v oblasti nemovitostí
1892908;121;Akciová společnost;NULL;55;64200;[64200] Činnosti holdingových společností;K;[K] Peněžnictví a pojišťovnictví
1897845;112;Společnost s r.o.;NULL;28;26800;[26800] Výroba magnetických a optických médií;C;[C] Zpracovatelský průmysl
1910388;112;Společnost s r.o.;NULL;63;56100;[56100] Stravování v restauracích, u stánků a v mobilních zařízeních;I;[I] Ubytování, stravování a pohostinství
1975943;105;Fyz.osoba ost.;NULL;28;69100;[69100] Právní činnosti;M;[M] Profesní, vědecké a technické činnosti
